Year,State,fertility_rate,covid_year,religousness_rate,percent_white,percent_black,percent_hispanic,percent_asian,percent_mixed_race,poverty_measure,foreign_born,percent_bachelors_or_higher,percent_less_than_high_school,percent_high_school_or_some_college,political_ranking,latest_abortion,no_abortion_law
2022,North Carolina,57.6,0,530.7299999999996,0.609,0.2,0.104,0.031,0.046,12.8,8.6,0.129,0.73,0.141,0.5526315789473684,20.0,0.0
2022,North Dakota,62.0,0,525.9840000000004,0.828,0.026,0.044,0.012,0.048,11.0,4.9,0.143,0.734,0.123,0.131578947368421,20.0,0.0
2022,Ohio,57.3,0,486.2999999999993,0.763,0.118,0.044,0.025,0.049,13.2,5.0,0.124,0.708,0.1679999999999999,0.4736842105263157,20.0,0.0
2022,Oklahoma,60.4,0,615.4019999999996,0.628,0.065,0.122,0.023,0.092,15.4,6.0,0.077,0.688,0.235,0.131578947368421,20.0,0.0
2022,Oregon,47.3,0,335.79800000000023,0.718,0.017,0.144,0.045,0.065,11.4,9.9,0.1159999999999999,0.732,0.152,0.763157894736842,40.0,1.0
2022,Pennsylvania,53.3,0,455.0439999999998,0.733,0.098,0.087,0.037,0.045,11.7,7.5,0.143,0.6910000000000001,0.1659999999999999,0.5789473684210527,40.0,1.0
2022,Rhode Island,47.5,0,508.4859999999999,0.68,0.045,0.179,0.032,0.062,10.5,14.4,0.138,0.722,0.14,0.8157894736842105,28.0,0.0
2022,South Carolina,57.0,0,527.6840000000001,0.628,0.247,0.064,0.017,0.041,13.9,5.2,0.108,0.72,0.172,0.4210526315789473,20.0,0.0
2022,South Dakota,66.5,0,547.4159999999993,0.801,0.019,0.046,0.014,0.045,10.9,3.5,0.139,0.735,0.126,0.2105263157894736,22.0,0.0
2022,Tennessee,59.3,0,556.636,0.721,0.152,0.063,0.019,0.044,13.3,5.6,0.1169999999999999,0.6890000000000001,0.194,0.2631578947368421,4.0,0.0
2022,Texas,61.9,0,549.3280000000002,0.389,0.115,0.405,0.054,0.036,13.8,17.2,0.11,0.7050000000000001,0.185,0.5,20.0,0.0
2022,Utah,61.3,0,754.9399999999996,0.756,0.01,0.152,0.026,0.039,7.9,8.6,0.087,0.734,0.179,0.3421052631578947,16.0,0.0
2022,Vermont,44.3,0,384.3620000000001,0.904,0.008,0.022,0.015,0.049,9.4,4.2,0.174,0.696,0.13,1.0,40.0,1.0
2022,Virginia,55.6,0,462.3220000000001,0.589,0.182,0.104,0.07,0.054,10.5,12.7,0.15,0.724,0.126,0.6842105263157894,28.0,0.0
2022,Washington,53.3,0,426.7439999999988,0.636,0.038,0.14,0.098,0.073,9.7,15.3,0.135,0.737,0.128,0.8157894736842105,40.0,1.0
2022,West Virginia,54.0,0,382.28200000000015,0.904,0.029,0.019,0.007,0.04,17.6,1.8,0.109,0.7030000000000001,0.188,0.0526315789473683,20.0,0.0
2022,Wisconsin,54.2,0,469.35599999999977,0.791,0.057,0.076,0.029,0.041,10.5,5.0,0.135,0.719,0.146,0.5789473684210527,20.0,0.0
2022,Wyoming,55.4,0,405.5719999999999,0.819,0.007,0.109,0.006,0.043,11.4,3.1,0.076,0.696,0.2279999999999999,0.0,40.0,1.0
