Year,State,fertility_rate,covid_year,religousness_rate,percent_white,percent_black,percent_hispanic,percent_asian,percent_mixed_race,poverty_measure,foreign_born,percent_bachelors_or_higher,percent_less_than_high_school,percent_high_school_or_some_college,political_ranking
2018,California,56.2,0,448.68,0.367,0.054,0.394,0.146,0.033,12.5,26.866666666666667,0.1159999999999999,0.734,0.15,0.9736842105263156
2019,California,55.4,0,448.51,0.364,0.053,0.395,0.147,0.033,11.5,26.825,0.1159999999999999,0.734,0.15,0.9736842105263156
2020,California,52.4,1,448.34,0.353,0.052,0.399,0.149,0.04,11.8,26.78333333333333,0.1159999999999999,0.734,0.15,0.9736842105263156
2021,California,52.8,0,448.17,0.342,0.051,0.403,0.151,0.047,12.1,26.741666666666667,0.1159999999999999,0.734,0.15,0.9736842105263156
2022,California,52.8,0,448.0,0.337,0.051,0.404,0.153,0.049,11.7,26.7,0.1159999999999999,0.734,0.15,0.9736842105263156
2014,Colorado,60.7,0,368.58600000000024,0.69,0.037,0.212,0.029,0.025,12.0,9.7,0.144,0.736,0.12,0.7105263157894737
2015,Colorado,60.2,0,366.1700000000001,0.686,0.039,0.214,0.03,0.025,11.4,9.675,0.144,0.736,0.12,0.7105263157894737
2016,Colorado,59.3,0,363.7539999999999,0.687,0.039,0.213,0.031,0.025,10.6,9.65,0.143,0.7150000000000001,0.1419999999999999,0.7105263157894737
2017,Colorado,56.6,0,361.33799999999974,0.683,0.038,0.216,0.031,0.026,10.2,9.625,0.143,0.7150000000000001,0.1419999999999999,0.7105263157894737
2018,Colorado,54.1,0,358.9220000000005,0.68,0.038,0.216,0.032,0.028,9.6,9.6,0.143,0.7150000000000001,0.1419999999999999,0.7105263157894737
2019,Colorado,53.3,0,356.5060000000003,0.678,0.038,0.218,0.032,0.028,9.2,9.575,0.143,0.7150000000000001,0.1419999999999999,0.7105263157894737
2020,Colorado,51.5,1,354.09,0.6655,0.037,0.22,0.0315,0.0405,9.45,9.55,0.143,0.7150000000000001,0.1419999999999999,0.7105263157894737
2021,Colorado,52.5,0,351.674,0.653,0.036,0.222,0.031,0.053,9.7,9.525,0.143,0.7150000000000001,0.1419999999999999,0.7105263157894737
2022,Colorado,51.5,0,349.2579999999998,0.65,0.036,0.226,0.031,0.052,9.0,9.5,0.143,0.7150000000000001,0.1419999999999999,0.7105263157894737
2014,Connecticut,53.0,0,496.84000000000015,0.688,0.095,0.151,0.042,0.022,9.9,14.3,0.172,0.756,0.072,0.8157894736842105
2015,Connecticut,52.5,0,492.9850000000006,0.68,0.099,0.155,0.043,0.022,10.0,14.475,0.172,0.756,0.072,0.8157894736842105
2016,Connecticut,53.4,0,489.1300000000001,0.676,0.098,0.158,0.045,0.022,9.2,14.65,0.163,0.747,0.09,0.8157894736842105
2017,Connecticut,52.3,0,485.27500000000055,0.667,0.097,0.163,0.045,0.027,9.1,14.825,0.163,0.747,0.09,0.8157894736842105
2018,Connecticut,51.8,0,481.4200000000001,0.663,0.099,0.166,0.047,0.024,10.1,15.0,0.163,0.747,0.09,0.8157894736842105
2019,Connecticut,51.1,0,477.5650000000005,0.657,0.1,0.169,0.046,0.026,10.0,15.175,0.163,0.747,0.09,0.8157894736842105
2020,Connecticut,49.9,1,473.71,0.6425000000000001,0.0985,0.1735,0.0465,0.0375,9.9,15.35,0.163,0.747,0.09,0.8157894736842105
