Year,State,fertility_rate,covid_year,religousness_rate,percent_white,percent_black,percent_hispanic,percent_asian,percent_mixed_race,poverty_measure,foreign_born,percent_bachelors_or_higher,percent_less_than_high_school,percent_high_school_or_some_college,political_ranking
2018,Maryland,59.9,0,431.4459999999999,0.503,0.293,0.105,0.064,0.034,8.6,15.766666666666666,0.177,0.739,0.084,0.9736842105263156
2019,Maryland,59.2,0,433.0830000000001,0.499,0.296,0.106,0.064,0.032,8.9,16.0,0.177,0.739,0.084,0.9736842105263156
2020,Maryland,57.7,1,434.72,0.49,0.291,0.1085,0.066,0.0419999999999999,9.45,16.233333333333334,0.177,0.739,0.084,0.9736842105263156
2021,Maryland,56.4,0,436.357,0.481,0.286,0.111,0.068,0.052,10.0,16.466666666666665,0.177,0.739,0.084,0.9736842105263156
2022,Maryland,56.9,0,437.99400000000014,0.472,0.292,0.115,0.066,0.054,9.4,16.7,0.177,0.739,0.084,0.9736842105263156
2014,Massachusetts,52.5,0,538.018,0.74,0.065,0.108,0.06,0.026,11.4,16.0,0.192,0.758,0.0499999999999999,1.0
2015,Massachusetts,52.0,0,529.4150000000009,0.731,0.067,0.111,0.063,0.027,11.0,16.25,0.192,0.758,0.0499999999999999,1.0
2016,Massachusetts,51.9,0,520.8119999999981,0.726,0.067,0.114,0.063,0.028,10.2,16.5,0.207,0.759,0.034,1.0
2017,Massachusetts,51.2,0,512.2089999999989,0.717,0.069,0.119,0.064,0.029,10.1,16.75,0.207,0.759,0.034,1.0
2018,Massachusetts,49.5,0,503.60599999999977,0.708,0.07,0.124,0.067,0.029,9.7,17.0,0.207,0.759,0.034,1.0
2019,Massachusetts,49.6,0,495.0030000000006,0.705,0.07,0.124,0.067,0.032,9.2,17.25,0.207,0.759,0.034,1.0
2020,Massachusetts,47.6,1,486.4,0.6910000000000001,0.0655,0.1265,0.068,0.0475,9.7,17.5,0.207,0.759,0.034,1.0
2021,Massachusetts,49.0,0,477.79699999999866,0.677,0.061,0.129,0.069,0.063,10.2,17.75,0.207,0.759,0.034,1.0
2022,Massachusetts,48.7,0,469.1939999999995,0.673,0.065,0.131,0.07,0.06,10.1,18.0,0.207,0.759,0.034,1.0
2014,Michigan,60.6,0,411.579999999999,0.76,0.136,0.048,0.028,0.023,15.8,6.3,0.1119999999999999,0.741,0.147,0.6052631578947368
2015,Michigan,60.3,0,409.1149999999998,0.757,0.136,0.049,0.029,0.024,15.7,6.375,0.1119999999999999,0.741,0.147,0.6052631578947368
2016,Michigan,60.5,0,406.6499999999997,0.756,0.135,0.049,0.029,0.027,14.7,6.45,0.111,0.727,0.162,0.6052631578947368
2017,Michigan,59.4,0,404.1849999999995,0.753,0.135,0.05,0.031,0.026,14.0,6.525,0.111,0.727,0.162,0.6052631578947368
2018,Michigan,58.5,0,401.71999999999935,0.75,0.135,0.052,0.032,0.026,13.8,6.6000000000000005,0.111,0.727,0.162,0.6052631578947368
2019,Michigan,57.4,0,399.2549999999992,0.749,0.134,0.053,0.032,0.027,12.9,6.675000000000001,0.111,0.727,0.162,0.6052631578947368
2020,Michigan,55.6,1,396.79,0.74,0.1325,0.0545,0.032,0.0375,13.0,6.75,0.111,0.727,0.162,0.6052631578947368
2021,Michigan,55.4,0,394.3249999999998,0.731,0.131,0.056,0.032,0.048,13.1,6.825,0.111,0.727,0.162,0.6052631578947368
2022,Michigan,54.0,0,391.8599999999997,0.729,0.129,0.057,0.033,0.05,13.2,6.9,0.111,0.727,0.162,0.6052631578947368
2014,Minnesota,66.4,0,535.8119999999999,0.815,0.056,0.051,0.047,0.023,10.9,7.633333333333333,0.155,0.763,0.0819999999999999,0.6578947368421052
2015,Minnesota,66.3,0,529.0,0.811,0.057,0.051,0.048,0.025,9.7,7.766666666666666,0.155,0.763,0.0819999999999999,0.6578947368421052
2016,Minnesota,66.1,0,522.1880000000001,0.807,0.057,0.051,0.049,0.026,9.6,7.9,0.161,0.771,0.0679999999999999,0.6578947368421052
2017,Minnesota,64.3,0,515.3760000000002,0.8,0.064,0.052,0.048,0.026,9.5,8.033333333333333,0.161,0.771,0.0679999999999999,0.6578947368421052
2018,Minnesota,62.7,0,508.5640000000003,0.796,0.065,0.054,0.047,0.028,9.4,8.166666666666666,0.161,0.771,0.0679999999999999,0.6578947368421052
2019,Minnesota,61.0,0,501.7520000000004,0.791,0.064,0.056,0.049,0.03,8.7,8.299999999999999,0.161,0.771,0.0679999999999999,0.6578947368421052
2020,Minnesota,58.3,1,494.94,0.78,0.0655,0.057,0.0495,0.0395,8.649999999999999,8.433333333333334,0.161,0.771,0.0679999999999999,0.6578947368421052
2021,Minnesota,58.6,0,488.1279999999988,0.769,0.067,0.058,0.05,0.049,8.6,8.566666666666666,0.161,0.771,0.0679999999999999,0.6578947368421052
2022,Minnesota,58.2,0,481.3159999999989,0.763,0.065,0.058,0.052,0.055,9.2,8.7,0.161,0.771,0.0679999999999999,0.6578947368421052
2014,Mississippi,64.4,0,590.1500000000001,0.576,0.375,0.025,0.01,0.013,22.0,2.1333333333333333,0.071,0.734,0.195,0.3684210526315789
2015,Mississippi,64.0,0,590.845,0.573,0.377,0.027,0.01,0.01,21.7,2.1416666666666666,0.071,0.734,0.195,0.3684210526315789
2016,Mississippi,63.7,0,591.54,0.572,0.376,0.028,0.01,0.011,20.6,2.1500000000000004,0.074,0.746,0.18,0.3684210526315789
2017,Mississippi,63.1,0,592.2350000000001,0.569,0.377,0.028,0.01,0.012,19.6,2.1583333333333337,0.074,0.746,0.18,0.3684210526315789
2018,Mississippi,62.8,0,592.9300000000001,0.567,0.377,0.028,0.009,0.014,19.8,2.166666666666667,0.074,0.746,0.18,0.3684210526315789
2019,Mississippi,62.7,0,593.625,0.566,0.376,0.03,0.01,0.014,19.4,2.1750000000000003,0.074,0.746,0.18,0.3684210526315789
2020,Mississippi,61.0,1,594.32,0.5625,0.3665,0.0305,0.009,0.027,19.35,2.1833333333333336,0.074,0.746,0.18,0.3684210526315789
2021,Mississippi,60.7,0,595.0150000000001,0.559,0.357,0.031,0.008,0.04,19.3,2.191666666666667,0.074,0.746,0.18,0.3684210526315789
2022,Mississippi,59.7,0,595.71,0.557,0.364,0.032,0.009,0.035,18.9,2.2,0.074,0.746,0.18,0.3684210526315789
2014,Missouri,64.1,0,489.2639999999999,0.802,0.114,0.038,0.017,0.025,15.2,3.9666666666666663,0.1159999999999999,0.733,0.151,0.3684210526315789
2015,Missouri,63.8,0,488.39999999999986,0.802,0.113,0.039,0.019,0.023,14.5,3.983333333333333,0.1159999999999999,0.733,0.151,0.3684210526315789
2016,Missouri,63.8,0,487.53599999999983,0.798,0.113,0.04,0.019,0.024,13.8,4.0,0.122,0.736,0.142,0.3684210526315789
2017,Missouri,62.3,0,486.6719999999998,0.797,0.111,0.042,0.02,0.025,13.1,4.016666666666667,0.122,0.736,0.142,0.3684210526315789
2018,Missouri,62.4,0,485.80799999999977,0.795,0.113,0.041,0.02,0.026,13.0,4.033333333333333,0.122,0.736,0.142,0.3684210526315789
2019,Missouri,61.3,0,484.94399999999973,0.794,0.112,0.043,0.021,0.026,12.4,4.05,0.122,0.736,0.142,0.3684210526315789
2020,Missouri,58.7,1,484.08,0.781,0.109,0.0445,0.0205,0.0415,12.45,4.066666666666666,0.122,0.736,0.142,0.3684210526315789
2021,Missouri,58.4,0,483.2159999999999,0.768,0.106,0.046,0.02,0.057,12.5,4.083333333333333,0.122,0.736,0.142,0.3684210526315789
2022,Missouri,57.7,0,482.35199999999986,0.769,0.104,0.047,0.021,0.056,12.6,4.1,0.122,0.736,0.142,0.3684210526315789
2014,Montana,67.0,0,367.9539999999997,0.87,0.01,0.033,0.01,0.017,15.6,2.1,0.088,0.661,0.2509999999999999,0.3421052631578947
2015,Montana,67.3,0,364.6899999999996,0.8654999999999999,0.008,0.035,0.009,0.0225,14.4,2.125,0.088,0.661,0.2509999999999999,0.3421052631578947
2016,Montana,65.3,0,361.4260000000004,0.8654999999999999,0.008,0.035,0.009,0.0225,12.5,2.15,0.102,0.681,0.217,0.3421052631578947
2017,Montana,62.1,0,358.16200000000026,0.8654999999999999,0.008,0.035,0.009,0.0225,12.3,2.175,0.102,0.681,0.217,0.3421052631578947
2018,Montana,59.6,0,354.89800000000014,0.8654999999999999,0.008,0.035,0.009,0.0225,11.8,2.1999999999999997,0.102,0.681,0.217,0.3421052631578947
2019,Montana,56.8,0,351.634,0.861,0.006,0.037,0.008,0.028,12.7,2.2249999999999996,0.102,0.681,0.217,0.3421052631578947
2020,Montana,54.3,1,348.37,0.8494999999999999,0.005,0.0399999999999999,0.0075,0.041,11.8,2.25,0.102,0.681,0.217,0.3421052631578947
2021,Montana,54.8,0,345.10599999999977,0.838,0.004,0.043,0.007,0.054,10.9,2.275,0.102,0.681,0.217,0.3421052631578947
2022,Montana,53.2,0,341.84199999999964,0.838,0.003,0.043,0.006,0.058,11.9,2.3,0.102,0.681,0.217,0.3421052631578947
2014,Nebraska,73.6,0,531.0619999999999,0.806,0.046,0.101,0.019,0.022,12.5,6.466666666666667,0.153,0.769,0.078,0.2894736842105263
2015,Nebraska,72.8,0,524.6800000000003,0.802,0.048,0.104,0.02,0.016,12.4,6.558333333333334,0.153,0.769,0.078,0.2894736842105263
2016,Nebraska,72.2,0,518.2980000000007,0.8,0.044,0.106,0.023,0.02,11.5,6.65,0.122,0.752,0.126,0.2894736842105263
2017,Nebraska,69.8,0,511.9160000000011,0.792,0.043,0.11,0.025,0.023,10.5,6.741666666666667,0.122,0.752,0.126,0.2894736842105263
2018,Nebraska,68.4,0,505.5340000000014,0.787,0.044,0.111,0.023,0.029,11.4,6.833333333333333,0.122,0.752,0.126,0.2894736842105263
2019,Nebraska,66.2,0,499.152,0.785,0.048,0.113,0.024,0.021,10.1,6.925,0.122,0.752,0.126,0.2894736842105263
2020,Nebraska,64.7,1,492.77,0.7755000000000001,0.045,0.1164999999999999,0.023,0.0325,10.05,7.016666666666667,0.122,0.752,0.126,0.2894736842105263
2021,Nebraska,64.4,0,486.3880000000008,0.766,0.042,0.12,0.022,0.044,10.0,7.108333333333333,0.122,0.752,0.126,0.2894736842105263
2022,Nebraska,63.6,0,480.0060000000012,0.759,0.042,0.123,0.023,0.047,10.2,7.2,0.122,0.752,0.126,0.2894736842105263
2014,Nevada,63.3,0,372.6040000000012,0.514,0.08,0.279,0.077,0.035,14.7,18.833333333333332,0.07,0.679,0.251,0.631578947368421
2015,Nevada,63.3,0,379.8500000000003,0.506,0.081,0.282,0.08,0.038,14.8,18.841666666666665,0.07,0.679,0.251,0.631578947368421
2016,Nevada,62.6,0,387.09600000000137,0.499,0.083,0.285,0.083,0.035,13.4,18.85,0.064,0.666,0.2699999999999999,0.631578947368421
2017,Nevada,60.7,0,394.34200000000055,0.489,0.087,0.289,0.084,0.035,13.0,18.858333333333334,0.064,0.666,0.2699999999999999,0.631578947368421
2018,Nevada,60.0,0,401.5880000000016,0.485,0.087,0.291,0.081,0.041,12.9,18.866666666666667,0.064,0.666,0.2699999999999999,0.631578947368421
2019,Nevada,58.3,0,408.83400000000074,0.478,0.092,0.293,0.085,0.037,12.9,18.875,0.064,0.666,0.2699999999999999,0.631578947368421
2020,Nevada,54.8,1,416.08,0.4645,0.089,0.297,0.0845,0.0515,13.45,18.883333333333333,0.064,0.666,0.2699999999999999,0.631578947368421
2021,Nevada,54.8,0,423.326000000001,0.451,0.086,0.301,0.084,0.066,14.0,18.891666666666666,0.064,0.666,0.2699999999999999,0.631578947368421
2022,Nevada,53.2,0,430.5720000000001,0.444,0.09,0.303,0.09,0.063,12.5,18.9,0.064,0.666,0.2699999999999999,0.631578947368421
2014,New Hampshire,50.5,0,319.78799999999865,0.913,0.011,0.032,0.025,0.018,9.2,5.6,0.14,0.733,0.127,0.631578947368421
2015,New Hampshire,51.3,0,311.85499999999956,0.913,0.011,0.033,0.025,0.017,7.7,5.675,0.14,0.733,0.127,0.631578947368421
2016,New Hampshire,50.9,0,303.92199999999866,0.911,0.011,0.035,0.025,0.018,6.7,5.75,0.17,0.708,0.1219999999999999,0.631578947368421
2017,New Hampshire,50.2,0,295.9889999999996,0.906,0.013,0.036,0.027,0.016,7.3,5.825,0.17,0.708,0.1219999999999999,0.631578947368421
2018,New Hampshire,49.1,0,288.0559999999987,0.902,0.011,0.038,0.028,0.018,7.1,5.9,0.17,0.708,0.1219999999999999,0.631578947368421
2019,New Hampshire,48.2,0,280.1229999999996,0.898,0.013,0.039,0.026,0.021,7.3,5.975,0.17,0.708,0.1219999999999999,0.631578947368421
2020,New Hampshire,47.7,1,272.19,0.887,0.0125,0.0409999999999999,0.0265,0.032,7.1,6.05,0.17,0.708,0.1219999999999999,0.631578947368421
2021,New Hampshire,49.9,0,264.2569999999996,0.876,0.012,0.043,0.027,0.043,6.9,6.125,0.17,0.708,0.1219999999999999,0.631578947368421
2022,New Hampshire,47.9,0,256.3239999999987,0.867,0.014,0.045,0.026,0.047,6.6,6.2,0.17,0.708,0.1219999999999999,0.631578947368421
2014,New Jersey,59.9,0,536.9200000000001,0.568,0.125,0.194,0.092,0.019,10.9,21.833333333333332,0.174,0.751,0.075,0.7894736842105263
2015,New Jersey,60.0,0,534.3900000000003,0.562,0.124,0.197,0.095,0.021,10.4,22.041666666666668,0.174,0.751,0.075,0.7894736842105263
2016,New Jersey,60.1,0,531.8600000000006,0.557,0.125,0.2,0.095,0.022,10.1,22.25,0.186,0.747,0.0669999999999999,0.7894736842105263
2017,New Jersey,59.0,0,529.3300000000008,0.55,0.125,0.205,0.098,0.021,9.5,22.458333333333332,0.186,0.747,0.0669999999999999,0.7894736842105263
2018,New Jersey,60.1,0,526.8000000000002,0.547,0.126,0.208,0.097,0.021,9.2,22.666666666666668,0.186,0.747,0.0669999999999999,0.7894736842105263
2019,New Jersey,59.5,0,524.2700000000004,0.545,0.124,0.21,0.096,0.024,8.9,22.875,0.186,0.747,0.0669999999999999,0.7894736842105263
2020,New Jersey,58.6,1,521.74,0.5335000000000001,0.1225,0.213,0.098,0.032,9.55,23.083333333333332,0.186,0.747,0.0669999999999999,0.7894736842105263
2021,New Jersey,58.0,0,519.21,0.522,0.121,0.216,0.1,0.04,10.2,23.291666666666668,0.186,0.747,0.0669999999999999,0.7894736842105263
2022,New Jersey,58.7,0,516.6800000000003,0.515,0.118,0.22,0.101,0.046,9.5,23.5,0.186,0.747,0.0669999999999999,0.7894736842105263
2014,New Mexico,65.5,0,510.5200000000005,0.387,0.017,0.478,0.015,0.014,21.1,9.7,0.059,0.737,0.204,0.7105263157894737
2015,New Mexico,65.3,0,512.9549999999999,0.383,0.017,0.482,0.014,0.018,20.6,9.65,0.059,0.737,0.204,0.7105263157894737
2016,New Mexico,62.7,0,515.3900000000003,0.379,0.017,0.486,0.015,0.017,19.9,9.6,0.083,0.712,0.205,0.7105263157894737
2017,New Mexico,60.1,0,517.8250000000007,0.373,0.016,0.49,0.013,0.018,19.4,9.55,0.083,0.712,0.205,0.7105263157894737
2018,New Mexico,58.0,0,520.2600000000002,0.369,0.018,0.491,0.015,0.017,19.8,9.5,0.083,0.712,0.205,0.7105263157894737
2019,New Mexico,57.6,0,522.6950000000006,0.367,0.017,0.495,0.016,0.018,17.5,9.45,0.083,0.712,0.205,0.7105263157894737
2020,New Mexico,54.6,1,525.13,0.3575,0.0165,0.499,0.015,0.0274999999999999,18.0,9.4,0.083,0.712,0.205,0.7105263157894737
2021,New Mexico,52.9,0,527.5650000000005,0.348,0.016,0.503,0.014,0.037,18.5,9.35,0.083,0.712,0.205,0.7105263157894737
2022,New Mexico,53.1,0,530.0,0.347,0.015,0.505,0.016,0.035,17.5,9.3,0.083,0.712,0.205,0.7105263157894737
2014,New York,59.0,0,512.1480000000001,0.564,0.143,0.187,0.081,0.023,15.3,22.366666666666667,0.185,0.767,0.048,0.894736842105263
2015,New York,58.8,0,512.1600000000001,0.559,0.142,0.189,0.085,0.023,14.9,22.40833333333333,0.185,0.767,0.048,0.894736842105263
2016,New York,58.6,0,512.1720000000001,0.556,0.142,0.191,0.085,0.025,14.5,22.45,0.1889999999999999,0.76,0.051,0.894736842105263
2017,New York,57.4,0,512.1840000000001,0.552,0.142,0.193,0.087,0.025,13.7,22.491666666666667,0.1889999999999999,0.76,0.051,0.894736842105263
2018,New York,57.9,0,512.1960000000001,0.553,0.141,0.193,0.085,0.026,13.4,22.53333333333333,0.1889999999999999,0.76,0.051,0.894736842105263
2019,New York,57.2,0,512.2080000000001,0.552,0.14,0.193,0.086,0.027,12.5,22.575,0.1889999999999999,0.76,0.051,0.894736842105263
2020,New York,54.6,1,512.22,0.5435000000000001,0.136,0.1945,0.0865,0.0375,13.05,22.616666666666667,0.1889999999999999,0.76,0.051,0.894736842105263
2021,New York,54.1,0,512.2320000000001,0.535,0.132,0.196,0.087,0.048,13.6,22.65833333333333,0.1889999999999999,0.76,0.051,0.894736842105263
2022,New York,53.6,0,512.2440000000001,0.53,0.133,0.197,0.09,0.048,13.6,22.7,0.1889999999999999,0.76,0.051,0.894736842105263
2014,North Carolina,61.0,0,493.6499999999997,0.641,0.213,0.09,0.024,0.021,17.1,7.866666666666666,0.118,0.735,0.147,0.5526315789473684
2015,North Carolina,60.7,0,498.28499999999985,0.638,0.212,0.091,0.027,0.021,16.5,7.958333333333333,0.118,0.735,0.147,0.5526315789473684
2016,North Carolina,60.3,0,502.9200000000001,0.636,0.211,0.092,0.027,0.023,15.5,8.05,0.129,0.73,0.141,0.5526315789473684
2017,North Carolina,59.6,0,507.5550000000003,0.631,0.21,0.094,0.028,0.026,14.7,8.141666666666666,0.129,0.73,0.141,0.5526315789473684
2018,North Carolina,58.4,0,512.1900000000005,0.629,0.209,0.096,0.029,0.027,13.9,8.233333333333333,0.129,0.73,0.141,0.5526315789473684
2019,North Carolina,57.8,0,516.8249999999989,0.627,0.209,0.097,0.029,0.026,13.3,8.325,0.129,0.73,0.141,0.5526315789473684
2020,North Carolina,56.2,1,521.46,0.619,0.203,0.099,0.03,0.038,13.4,8.416666666666666,0.129,0.73,0.141,0.5526315789473684
2021,North Carolina,58.1,0,526.0949999999993,0.611,0.197,0.101,0.031,0.05,13.5,8.508333333333333,0.129,0.73,0.141,0.5526315789473684
2022,North Carolina,57.6,0,530.7299999999996,0.609,0.2,0.104,0.031,0.046,12.8,8.6,0.129,0.73,0.141,0.5526315789473684
2014,North Dakota,78.8,0,622.8080000000009,0.87,0.02,0.024,0.01,0.013,11.8,3.3000000000000003,0.154,0.776,0.0699999999999999,0.131578947368421
2015,North Dakota,76.4,0,610.7050000000017,0.862,0.014,0.034,0.012,0.028,11.4,3.5,0.154,0.776,0.0699999999999999,0.131578947368421
2016,North Dakota,77.3,0,598.601999999999,0.854,0.026,0.031,0.01,0.024,11.3,3.7,0.143,0.734,0.123,0.131578947368421
2017,North Dakota,73.4,0,586.4989999999998,0.847,0.029,0.034,0.017,0.017,9.5,3.9,0.143,0.734,0.123,0.131578947368421
2018,North Dakota,72.2,0,574.3960000000006,0.839,0.03,0.035,0.02,0.024,9.9,4.1000000000000005,0.143,0.734,0.123,0.131578947368421
2019,North Dakota,70.6,0,562.2930000000015,0.841,0.024,0.04,0.014,0.026,10.6,4.300000000000001,0.143,0.734,0.123,0.131578947368421
2020,North Dakota,67.4,1,550.19,0.834,0.0265,0.0395,0.014,0.0349999999999999,10.05,4.5,0.143,0.734,0.123,0.131578947368421
2021,North Dakota,66.7,0,538.0869999999995,0.827,0.029,0.039,0.014,0.044,9.5,4.700000000000001,0.143,0.734,0.123,0.131578947368421
2022,North Dakota,62.0,0,525.9840000000004,0.828,0.026,0.044,0.012,0.048,11.0,4.9,0.143,0.734,0.123,0.131578947368421
2014,Ohio,63.1,0,455.1799999999994,0.803,0.12,0.034,0.019,0.024,15.7,4.3999999999999995,0.115,0.7110000000000001,0.174,0.4736842105263157
2015,Ohio,63.1,0,459.0699999999997,0.799,0.12,0.035,0.02,0.025,14.7,4.475,0.115,0.7110000000000001,0.174,0.4736842105263157
2016,Ohio,62.8,0,462.96,0.796,0.121,0.036,0.02,0.026,14.2,4.55,0.124,0.708,0.1679999999999999,0.4736842105263157
2017,Ohio,62.1,0,466.84999999999945,0.792,0.12,0.037,0.022,0.028,13.7,4.625,0.124,0.708,0.1679999999999999,0.4736842105263157
2018,Ohio,61.1,0,470.7399999999998,0.788,0.121,0.038,0.023,0.028,13.8,4.7,0.124,0.708,0.1679999999999999,0.4736842105263157
2019,Ohio,60.8,0,474.6300000000001,0.786,0.122,0.04,0.023,0.028,12.8,4.775,0.124,0.708,0.1679999999999999,0.4736842105263157
2020,Ohio,58.3,1,478.52,0.7765,0.1185,0.0414999999999999,0.0235,0.0385,13.0,4.85,0.124,0.708,0.1679999999999999,0.4736842105263157
2021,Ohio,57.9,0,482.40999999999985,0.767,0.115,0.043,0.024,0.049,13.2,4.925,0.124,0.708,0.1679999999999999,0.4736842105263157
2022,Ohio,57.3,0,486.2999999999993,0.763,0.118,0.044,0.025,0.049,13.2,5.0,0.124,0.708,0.1679999999999999,0.4736842105263157
2014,Oklahoma,69.9,0,600.7939999999999,0.672,0.07,0.098,0.02,0.067,16.3,5.666666666666667,0.094,0.71,0.1959999999999999,0.131578947368421
2015,Oklahoma,69.1,0,602.6199999999999,0.667,0.069,0.101,0.02,0.074,16.1,5.708333333333333,0.094,0.71,0.1959999999999999,0.131578947368421
2016,Oklahoma,68.4,0,604.4459999999999,0.663,0.069,0.103,0.019,0.072,15.9,5.75,0.077,0.688,0.235,0.131578947368421
2017,Oklahoma,65.3,0,606.2719999999999,0.659,0.069,0.105,0.021,0.071,15.2,5.791666666666667,0.077,0.688,0.235,0.131578947368421
2018,Oklahoma,64.6,0,608.098,0.653,0.07,0.109,0.021,0.072,15.2,5.833333333333333,0.077,0.688,0.235,0.131578947368421
2019,Oklahoma,63.4,0,609.9239999999995,0.65,0.069,0.111,0.021,0.071,15.3,5.875,0.077,0.688,0.235,0.131578947368421
2020,Oklahoma,61.0,1,611.75,0.6395,0.067,0.1149999999999999,0.022,0.0819999999999999,15.35,5.916666666666667,0.077,0.688,0.235,0.131578947368421
2021,Oklahoma,61.5,0,613.5759999999996,0.629,0.065,0.119,0.023,0.093,15.4,5.958333333333333,0.077,0.688,0.235,0.131578947368421
2022,Oklahoma,60.4,0,615.4019999999996,0.628,0.065,0.122,0.023,0.092,15.4,6.0,0.077,0.688,0.235,0.131578947368421
2014,Oregon,58.7,0,319.84600000000046,0.77,0.017,0.125,0.04,0.037,15.8,9.833333333333334,0.113,0.72,0.167,0.763157894736842
2015,Oregon,58.1,0,321.84000000000015,0.767,0.017,0.127,0.04,0.036,14.8,9.841666666666669,0.113,0.72,0.167,0.763157894736842
2016,Oregon,57.0,0,323.8340000000003,0.763,0.017,0.127,0.042,0.037,13.1,9.85,0.1159999999999999,0.732,0.152,0.763157894736842
2017,Oregon,53.8,0,325.82800000000043,0.758,0.017,0.13,0.045,0.038,12.9,9.858333333333334,0.1159999999999999,0.732,0.152,0.763157894736842
2018,Oregon,51.4,0,327.8220000000001,0.752,0.018,0.133,0.046,0.038,11.8,9.866666666666667,0.1159999999999999,0.732,0.152,0.763157894736842
2019,Oregon,50.6,0,329.81600000000026,0.75,0.018,0.134,0.047,0.04,11.2,9.875,0.1159999999999999,0.732,0.152,0.763157894736842
2020,Oregon,47.8,1,331.81,0.7355,0.018,0.137,0.046,0.0525,11.65,9.883333333333333,0.1159999999999999,0.732,0.152,0.763157894736842
2021,Oregon,48.9,0,333.8040000000001,0.721,0.018,0.14,0.045,0.065,12.1,9.891666666666667,0.1159999999999999,0.732,0.152,0.763157894736842
2022,Oregon,47.3,0,335.79800000000023,0.718,0.017,0.144,0.045,0.065,11.4,9.9,0.1159999999999999,0.732,0.152,0.763157894736842
2014,Pennsylvania,59.1,0,510.58799999999974,0.781,0.104,0.065,0.031,0.018,13.4,6.366666666666666,0.141,0.7030000000000001,0.156,0.5789473684210527
2015,Pennsylvania,58.7,0,503.6450000000005,0.776,0.102,0.067,0.033,0.02,12.7,6.508333333333333,0.141,0.7030000000000001,0.156,0.5789473684210527
2016,Pennsylvania,58.5,0,496.7019999999993,0.773,0.103,0.07,0.033,0.02,12.6,6.65,0.143,0.6910000000000001,0.1659999999999999,0.5789473684210527
2017,Pennsylvania,57.8,0,489.759,0.767,0.105,0.073,0.034,0.02,12.3,6.791666666666667,0.143,0.6910000000000001,0.1659999999999999,0.5789473684210527
2018,Pennsylvania,56.9,0,482.8160000000007,0.763,0.103,0.076,0.035,0.022,11.9,6.933333333333334,0.143,0.6910000000000001,0.1659999999999999,0.5789473684210527
2019,Pennsylvania,56.3,0,475.8729999999996,0.76,0.104,0.078,0.035,0.023,11.9,7.075,0.143,0.6910000000000001,0.1659999999999999,0.5789473684210527
2020,Pennsylvania,54.9,1,468.93,0.7495,0.1005,0.081,0.036,0.033,11.9,7.216666666666667,0.143,0.6910000000000001,0.1659999999999999,0.5789473684210527
2021,Pennsylvania,54.7,0,461.9869999999992,0.739,0.097,0.084,0.037,0.043,11.9,7.358333333333333,0.143,0.6910000000000001,0.1659999999999999,0.5789473684210527
2022,Pennsylvania,53.3,0,455.0439999999998,0.733,0.098,0.087,0.037,0.045,11.7,7.5,0.143,0.6910000000000001,0.1659999999999999,0.5789473684210527
2014,Rhode Island,51.5,0,534.902,0.741,0.054,0.142,0.032,0.026,14.1,13.333333333333334,0.156,0.733,0.111,0.8157894736842105
2015,Rhode Island,52.5,0,531.6000000000004,0.733,0.052,0.146,0.033,0.032,13.4,13.466666666666669,0.156,0.733,0.111,0.8157894736842105
2016,Rhode Island,51.8,0,528.2979999999998,0.728,0.056,0.151,0.033,0.028,12.4,13.6,0.138,0.722,0.14,0.8157894736842105
2017,Rhode Island,50.9,0,524.9960000000001,0.722,0.054,0.155,0.035,0.03,11.6,13.733333333333334,0.138,0.722,0.14,0.8157894736842105
2018,Rhode Island,50.5,0,521.6940000000004,0.715,0.056,0.16,0.034,0.031,12.3,13.866666666666667,0.138,0.722,0.14,0.8157894736842105
2019,Rhode Island,48.8,0,518.3919999999998,0.705,0.059,0.166,0.033,0.033,10.4,14.0,0.138,0.722,0.14,0.8157894736842105
2020,Rhode Island,48.7,1,515.09,0.697,0.051,0.1699999999999999,0.0315,0.0465,10.85,14.133333333333333,0.138,0.722,0.14,0.8157894736842105
2021,Rhode Island,48.3,0,511.7879999999995,0.689,0.043,0.174,0.03,0.06,11.3,14.266666666666667,0.138,0.722,0.14,0.8157894736842105
2022,Rhode Island,47.5,0,508.4859999999999,0.68,0.045,0.179,0.032,0.062,10.5,14.4,0.138,0.722,0.14,0.8157894736842105
2014,South Carolina,61.1,0,523.7479999999999,0.641,0.271,0.053,0.014,0.019,17.9,4.866666666666667,0.109,0.709,0.182,0.4210526315789473
2015,South Carolina,61.1,0,524.24,0.64,0.27,0.053,0.014,0.019,16.4,4.908333333333333,0.109,0.709,0.182,0.4210526315789473
2016,South Carolina,59.9,0,524.732,0.64,0.267,0.055,0.015,0.021,15.1,4.95,0.108,0.72,0.172,0.4210526315789473
2017,South Carolina,59.1,0,525.224,0.64,0.267,0.056,0.015,0.02,15.3,4.991666666666667,0.108,0.72,0.172,0.4210526315789473
2018,South Carolina,58.1,0,525.716,0.638,0.263,0.058,0.016,0.022,14.9,5.033333333333333,0.108,0.72,0.172,0.4210526315789473
2019,South Carolina,58.0,0,526.208,0.637,0.262,0.057,0.017,0.022,13.6,5.075,0.108,0.72,0.172,0.4210526315789473
2020,South Carolina,55.9,1,526.7,0.6325000000000001,0.2545,0.06,0.0165,0.0325,14.15,5.116666666666667,0.108,0.72,0.172,0.4210526315789473
2021,South Carolina,57.5,0,527.192,0.628,0.247,0.063,0.016,0.043,14.7,5.158333333333333,0.108,0.72,0.172,0.4210526315789473
