State,Year,foreign_born
Missouri,2022,4.1
Montana,2014,2.1
Montana,2015,2.125
Montana,2016,2.15
Montana,2017,2.175
Montana,2018,2.1999999999999997
Montana,2019,2.2249999999999996
Montana,2020,2.25
Montana,2021,2.275
Montana,2022,2.3
Nebraska,2014,6.466666666666667
Nebraska,2015,6.558333333333334
Nebraska,2016,6.65
Nebraska,2017,6.741666666666667
Nebraska,2018,6.833333333333333
Nebraska,2019,6.925
Nebraska,2020,7.016666666666667
Nebraska,2021,7.108333333333333
Nebraska,2022,7.2
Nevada,2014,18.833333333333332
Nevada,2015,18.841666666666665
Nevada,2016,18.85
Nevada,2017,18.858333333333334
Nevada,2018,18.866666666666667
Nevada,2019,18.875
Nevada,2020,18.883333333333333
Nevada,2021,18.891666666666666
Nevada,2022,18.9
New Hampshire,2014,5.6
New Hampshire,2015,5.675
New Hampshire,2016,5.75
New Hampshire,2017,5.825
New Hampshire,2018,5.9
New Hampshire,2019,5.975
New Hampshire,2020,6.05
New Hampshire,2021,6.125
New Hampshire,2022,6.2
New Jersey,2014,21.833333333333332
New Jersey,2015,22.041666666666668
New Jersey,2016,22.25
New Jersey,2017,22.458333333333332
New Jersey,2018,22.666666666666668
New Jersey,2019,22.875
New Jersey,2020,23.083333333333332
New Jersey,2021,23.291666666666668
New Jersey,2022,23.5
New Mexico,2014,9.700000000000001
New Mexico,2015,9.65
New Mexico,2016,9.600000000000001
New Mexico,2017,9.55
New Mexico,2018,9.5
New Mexico,2019,9.450000000000001
New Mexico,2020,9.4
New Mexico,2021,9.350000000000001
New Mexico,2022,9.3
New York,2014,22.366666666666667
New York,2015,22.40833333333333
New York,2016,22.45
New York,2017,22.491666666666667
New York,2018,22.53333333333333
New York,2019,22.575
New York,2020,22.616666666666667
New York,2021,22.65833333333333
New York,2022,22.7
North Carolina,2014,7.866666666666666
North Carolina,2015,7.958333333333333
North Carolina,2016,8.05
North Carolina,2017,8.141666666666666
North Carolina,2018,8.233333333333333
North Carolina,2019,8.325
North Carolina,2020,8.416666666666666
North Carolina,2021,8.508333333333333
North Carolina,2022,8.6
North Dakota,2014,3.3000000000000003
North Dakota,2015,3.5
North Dakota,2016,3.7
North Dakota,2017,3.9000000000000004
North Dakota,2018,4.1000000000000005
North Dakota,2019,4.300000000000001
North Dakota,2020,4.5
North Dakota,2021,4.700000000000001
North Dakota,2022,4.9
Ohio,2014,4.3999999999999995
Ohio,2015,4.475
Ohio,2016,4.55
Ohio,2017,4.625
Ohio,2018,4.7
Ohio,2019,4.775
Ohio,2020,4.85
Ohio,2021,4.925
Ohio,2022,5.0
Oklahoma,2014,5.666666666666667
Oklahoma,2015,5.708333333333333
Oklahoma,2016,5.75
Oklahoma,2017,5.791666666666667
Oklahoma,2018,5.833333333333333
Oklahoma,2019,5.875
Oklahoma,2020,5.916666666666667
Oklahoma,2021,5.958333333333333
Oklahoma,2022,6.0
Oregon,2014,9.833333333333334
Oregon,2015,9.841666666666667
Oregon,2016,9.850000000000001
Oregon,2017,9.858333333333334
Oregon,2018,9.866666666666667
Oregon,2019,9.875
Oregon,2020,9.883333333333333
Oregon,2021,9.891666666666667
Oregon,2022,9.9
Pennsylvania,2014,6.366666666666666
Pennsylvania,2015,6.508333333333333
Pennsylvania,2016,6.65
Pennsylvania,2017,6.791666666666667
Pennsylvania,2018,6.933333333333334
Pennsylvania,2019,7.075
Pennsylvania,2020,7.216666666666667
Pennsylvania,2021,7.358333333333333
Pennsylvania,2022,7.5
Rhode Island,2014,13.333333333333334
Rhode Island,2015,13.466666666666667
Rhode Island,2016,13.600000000000001
Rhode Island,2017,13.733333333333334
Rhode Island,2018,13.866666666666667
Rhode Island,2019,14.0
Rhode Island,2020,14.133333333333333
Rhode Island,2021,14.266666666666667
Rhode Island,2022,14.4
South Carolina,2014,4.866666666666667
South Carolina,2015,4.908333333333333
South Carolina,2016,4.95
South Carolina,2017,4.991666666666667
South Carolina,2018,5.033333333333333
South Carolina,2019,5.075
South Carolina,2020,5.116666666666667
South Carolina,2021,5.158333333333333
South Carolina,2022,5.2
South Dakota,2014,2.966666666666667
South Dakota,2015,3.033333333333333
South Dakota,2016,3.1
South Dakota,2017,3.166666666666667
South Dakota,2018,3.2333333333333334
South Dakota,2019,3.3
South Dakota,2020,3.3666666666666667
South Dakota,2021,3.4333333333333336
South Dakota,2022,3.5
Tennessee,2014,4.866666666666666
Tennessee,2015,4.958333333333333
Tennessee,2016,5.05
Tennessee,2017,5.141666666666667
Tennessee,2018,5.233333333333333
Tennessee,2019,5.324999999999999
Tennessee,2020,5.416666666666666
Tennessee,2021,5.508333333333333
Tennessee,2022,5.6
Texas,2014,16.666666666666664
Texas,2015,16.73333333333333
Texas,2016,16.799999999999997
Texas,2017,16.866666666666667
Texas,2018,16.933333333333334
Texas,2019,17.0
Texas,2020,17.066666666666666
Texas,2021,17.133333333333333
Texas,2022,17.2
Utah,2014,8.2
Utah,2015,8.25
Utah,2016,8.3
Utah,2017,8.35
Utah,2018,8.4
Utah,2019,8.45
Utah,2020,8.5
Utah,2021,8.549999999999999
Utah,2022,8.6
Vermont,2014,4.333333333333334
Vermont,2015,4.316666666666667
Vermont,2016,4.300000000000001
Vermont,2017,4.283333333333333
Vermont,2018,4.266666666666667
Vermont,2019,4.25
Vermont,2020,4.233333333333333
Vermont,2021,4.216666666666667
Vermont,2022,4.2
Virginia,2014,11.833333333333334
Virginia,2015,11.941666666666666
Virginia,2016,12.05
Virginia,2017,12.158333333333333
Virginia,2018,12.266666666666666
Virginia,2019,12.375
Virginia,2020,12.483333333333333
Virginia,2021,12.591666666666665
Virginia,2022,12.7
Washington,2014,13.833333333333334
Washington,2015,14.016666666666667
Washington,2016,14.2
Washington,2017,14.383333333333333
Washington,2018,14.566666666666666
Washington,2019,14.75
Washington,2020,14.933333333333334
Washington,2021,15.116666666666667
Washington,2022,15.3
West Virginia,2014,1.4
West Virginia,2015,1.45
West Virginia,2016,1.5
West Virginia,2017,1.55
West Virginia,2018,1.6
West Virginia,2019,1.65
West Virginia,2020,1.7000000000000002
West Virginia,2021,1.75
West Virginia,2022,1.8
Wisconsin,2014,4.666666666666667
Wisconsin,2015,4.708333333333333
Wisconsin,2016,4.75
Wisconsin,2017,4.791666666666667
Wisconsin,2018,4.833333333333333
Wisconsin,2019,4.875
Wisconsin,2020,4.916666666666667
Wisconsin,2021,4.958333333333333
Wisconsin,2022,5.0
Wyoming,2014,2.9
Wyoming,2015,2.925
Wyoming,2016,2.95
Wyoming,2017,2.975
Wyoming,2018,3.0
Wyoming,2019,3.025
Wyoming,2020,3.05
Wyoming,2021,3.075
Wyoming,2022,3.1
